date,puzzle_id,solution,first,guesses,num_guesses,won,hard_mode,status
2025-08-01,2084,banjo,adieu,adieu|salty|baron|banjo,4,True,False,WIN
2025-08-02,2206,daunt,adieu,adieu|guard|daunt,3,True,False,WIN
2025-08-03,1627,lumpy,adieu,adieu|surly|bulky|lumpy,4,True,False,WIN
2025-08-04,1319,rigid,adieu,adieu|dingy|rigid,3,True,False,WIN
2025-08-05,925,stork,adieu,adieu|showy|stock|stork,4,True,False,WIN
2025-08-06,583,groan,adieu,adieu|soapy|bacon|organ|groan,5,True,False,WIN
2025-08-07,1145,coral,adieu,adieu|soapy|coral,3,True,False,WIN
2025-08-08,1878,imbue,adieu,adieu|untie|issue|imbue,4,True,False,WIN
2025-08-09,2089,nasal,adieu,adieu|soapy|marsh|nasal,4,True,False,WIN
2025-08-10,596,minty,adieu,adieu|silky|minty,3,True,False,WIN
2025-08-11,1096,south,adieu,adieu|surly|spunk|south,4,True,False,WIN
2025-08-12,1429,nomad,adieu,adieu|sandy|grand|nomad,4,True,False,WIN
2025-08-13,2378,kefir,adieu,adieu|resin|eerie|kefir,4,True,False,WIN
2025-08-14,2346,knell,adieu,adieu|shore|lefty|knell,4,True,False,WIN
2025-08-15,986,level,adieu,adieu|sober|hymen|level,4,True,False,WIN
2025-08-16,2348,matte,adieu,adieu|react|baste|matte,4,True,False,WIN
2025-08-17,1640,lousy,adieu,adieu|surly|lousy,3,True,False,WIN
2025-08-18,1406,issue,adieu,adieu|untie|imbue|issue,4,True,False,WIN
2025-08-19,1323,rowdy,adieu,adieu|moldy|howdy|rowdy,4,True,False,WIN
2025-08-20,783,llama,adieu,adieu|soapy|crank|llama,4,True,False,WIN
2025-08-21,1488,extol,adieu,adieu|shore|below|extol,4,True,False,WIN
2025-08-22,2185,ratty,adieu,adieu|salty|party|ratty,4,True,False,WIN
2025-08-23,2122,union,adieu,adieu|quilt|unify|union,4,True,False,WIN
2025-08-24,980,spore,adieu,adieu|shore|score|spore,4,True,False,WIN
2025-08-25,2051,mirth,adieu,adieu|silky|pinch|birth|mirth,5,True,False,WIN
2025-08-26,1622,annex,adieu,adieu|anger|annex,3,True,False,WIN
2025-08-27,1842,tower,adieu,adieu|shore|power|lower|tower,5,True,False,WIN
2025-08-28,1838,split,adieu,adieu|silky|split,3,True,False,WIN
2025-08-29,2035,graft,adieu,adieu|soapy|crank|brawl|graft,5,True,False,WIN
2025-08-30,1540,elate,adieu,adieu|react|slate|plate|elate,5,True,False,WIN
2025-08-31,1820,petal,adieu,adieu|react|tease|petal,4,True,False,WIN
2025-09-01,1260,least,adieu,adieu|react|least,3,True,False,WIN
2025-09-02,661,might,adieu,adieu|silky|pinch|fight|might,5,True,False,WIN
2025-09-03,1262,fetch,adieu,adieu|shore|bench|fetch,4,True,False,WIN
2025-09-04,1583,blend,adieu,adieu|decoy|spend|blend,4,True,False,WIN
2025-09-05,1861,drift,adieu,adieu|drink|drift,3,True,False,WIN
2025-09-06,1790,bulge,adieu,adieu|rogue|guest|lunge|bulge,5,True,False,WIN
2025-09-07,1803,tenor,adieu,adieu|shore|tenor,3,True,False,WIN
2025-09-08,2188,chirp,adieu,adieu|shiny|whirl|chirp,4,True,False,WIN
2025-09-09,1046,trick,adieu,adieu|shiny|trick,3,True,False,WIN
2025-09-10,1821,pouty,adieu,adieu|surly|pouty,3,True,False,WIN
2025-09-11,1372,chair,adieu,adieu|satin|grail|chair,4,True,False,WIN
2025-09-12,1822,throb,adieu,adieu|story|throw|throb,4,True,False,WIN
2025-09-13,1254,nadir,adieu,adieu|valid|radio|nadir,4,True,False,WIN
2025-09-14,1537,noisy,adieu,adieu|shiny|noisy,3,True,False,WIN
2025-09-15,1236,along,adieu,adieu|acorn|agony|along,4,True,False,WIN
2025-09-16,577,lefty,adieu,adieu|shore|lefty,3,True,False,WIN
2025-09-17,1598,teeth,adieu,adieu|shore|bench|teeth,4,True,False,WIN
2025-09-18,1030,knife,adieu,adieu|shine|knife,3,True,False,WIN
2025-09-19,848,later,adieu,adieu|cater|hater|later,4,True,False,WIN
2025-09-20,1424,defer,adieu,adieu|rowed|defer,3,True,False,WIN
2025-09-21,1911,coven,adieu,adieu|sober|hotel|money|woven|coven,6,True,False,WIN
2025-09-22,1006,quill,adieu,adieu|quilt|quill,3,True,False,WIN
2025-09-23,2232,mouth,adieu,adieu|surly|count|tough|mouth,5,True,False,WIN
2025-09-24,1183,blunt,adieu,adieu|surly|blunt,3,True,False,WIN
2025-09-25,2069,drape,adieu,adieu|decay|drape,3,True,False,WIN
2025-09-26,809,dally,adieu,adieu|sandy|badly|dally,4,True,False,WIN
2025-09-27,779,fritz,adieu,adieu|shiny|brick|frill|fritz,5,True,False,WIN
2025-09-28,2090,gooey,adieu,adieu|sober|covet|women|golem|gooey,6,True,False,WIN
2025-09-29,863,civil,adieu,adieu|silky|light|civil,4,True,False,WIN
2025-09-30,2049,geese,adieu,adieu|shore|geese,3,True,False,WIN
2025-10-01,630,spoil,adieu,adieu|pinky|split|spoil,4,True,False,WIN
2025-10-02,1840,width,adieu,adieu|dingy|width,3,True,False,WIN
2025-10-03,1998,spasm,adieu,adieu|soapy|spark|spawn|spasm,5,True,False,WIN
2025-10-04,1037,relay,adieu,adieu|react|relay,3,True,False,WIN
2025-10-05,1033,plane,adieu,adieu|react|shape|plane,4,True,False,WIN
2025-10-06,1026,amuse,adieu,adieu|amuse,2,True,False,WIN
